userId,title,description,type,fileUrl,category
1,Guía completa de análisis técnico,PDF exhaustivo con patrones de velas japonesas indicadores y estrategias de trading para criptomonedas,pdf,https://res.cloudinary.com/dehgir74t/raw/upload/v1764334486/cryptohub/resources/file,análisis-técnico
2,Infografía del ecosistema DeFi 2024,Mapa visual actualizado de los principales protocolos DeFi organizados por categoría y TVL,image,https://res.cloudinary.com/dehgir74t/image/upload/v1763377201/cryptohub/avatars/dnfyyoa79bcgzthf0xmw.jpg,defi
1,Whitepaper de Bitcoin traducido,Traducción completa al español del whitepaper original de Satoshi Nakamoto con notas explicativas,pdf,https://res.cloudinary.com/dehgir74t/raw/upload/v1764334486/cryptohub/resources/file,fundamentos
3,Comparativa wallets hardware 2024,Análisis detallado de Ledger vs Trezor vs ColdCard: características seguridad y precios,guide,https://res.cloudinary.com/dehgir74t/raw/upload/v1764334486/cryptohub/resources/file,seguridad
4,Gráfico histórico BTC/USD desde 2009,Visualización completa del precio de Bitcoin desde su creación hasta la actualidad con eventos importantes,image,https://res.cloudinary.com/dehgir74t/image/upload/v1763377201/cryptohub/avatars/dnfyyoa79bcgzthf0xmw.jpg,análisis-técnico
5,Manual de seguridad cripto,Guía práctica para proteger tus criptomonedas: 2FA cold storage y buenas prácticas,pdf,https://res.cloudinary.com/dehgir74t/raw/upload/v1764334486/cryptohub/resources/file,seguridad
6,Roadmap de Ethereum 2024-2025,Documento oficial con las mejoras planificadas para Ethereum: sharding danksharding y más,guide,https://res.cloudinary.com/dehgir74t/raw/upload/v1764334486/cryptohub/resources/file,fundamentos
7,Estrategias de trading cripto,PDF con estrategias probadas para trading de criptomonedas: scalping swing trading y HODLing,pdf,https://res.cloudinary.com/dehgir74t/raw/upload/v1764334486/cryptohub/resources/file,trading
8,Mapa mental del ecosistema Solana,Infografía interactiva mostrando todos los proyectos construidos en Solana organizados por sector,image,https://res.cloudinary.com/dehgir74t/image/upload/v1763377201/cryptohub/avatars/dnfyyoa79bcgzthf0xmw.jpg,fundamentos
9,Calculadora de yield farming,Herramienta para calcular rendimientos impermanent loss y ROI en diferentes pools de liquidez,guide,https://res.cloudinary.com/dehgir74t/raw/upload/v1764334486/cryptohub/resources/file,defi
10,Patrones chartistas en cripto,Compendio visual de patrones técnicos más frecuentes en gráficos de criptomonedas con ejemplos,image,https://res.cloudinary.com/dehgir74t/image/upload/v1763377201/cryptohub/avatars/dnfyyoa79bcgzthf0xmw.jpg,análisis-técnico
11,Guía de Dollar Cost Averaging,Estrategia detallada para invertir de forma recurrente en criptomonedas minimizando el riesgo temporal,pdf,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf,trading
12,Anatomía de un smart contract,Explicación técnica de cómo funcionan los contratos inteligentes con ejemplos en Solidity,guide,https://res.cloudinary.com/dehgir74t/raw/upload/v1764334486/cryptohub/resources/file,fundamentos
13,Métricas on-chain esenciales,Dashboard con las métricas on-chain más importantes para analizar Bitcoin y Ethereum,image,https://res.cloudinary.com/dehgir74t/image/upload/v1763377201/cryptohub/avatars/dnfyyoa79bcgzthf0xmw.jpg,análisis-técnico
7,Cómo declarar criptos en la renta,Guía fiscal actualizada para declarar correctamente las ganancias de criptomonedas en España,pdf,https://res.cloudinary.com/dehgir74t/raw/upload/v1764334486/cryptohub/resources/file,otro
14,Protocolo de seguridad para traders,Checklist completo de medidas de seguridad para traders activos: VPN wallets operacionales y más,guide,https://res.cloudinary.com/dehgir74t/raw/upload/v1764334486/cryptohub/resources/file,seguridad
8,Top 10 DEXs por volumen,Ranking actualizado de exchanges descentralizados ordenados por volumen de trading y liquidez,image,https://res.cloudinary.com/dehgir74t/image/upload/v1763377201/cryptohub/avatars/dnfyyoa79bcgzthf0xmw.jpg,defi
15,Fundamentos de blockchain,Introducción técnica pero accesible a la tecnología blockchain consensus y criptografía,pdf,https://res.cloudinary.com/dehgir74t/raw/upload/v1764334486/cryptohub/resources/file,fundamentos
9,Gestión de riesgo en crypto,Estrategias profesionales para gestionar el riesgo en portfolios de criptomonedas,guide,https://res.cloudinary.com/dehgir74t/raw/upload/v1764334486/cryptohub/resources/file,trading
11,Hoja de ruta Layer 2 Ethereum,Comparativa técnica de soluciones L2: Polygon Arbitrum Optimism y zkSync,image,https://res.cloudinary.com/dehgir74t/image/upload/v1763377201/cryptohub/avatars/dnfyyoa79bcgzthf0xmw.jpg,fundamentos
12,Diccionario cripto definitivo,Glosario completo con más de 500 términos del mundo crypto blockchain y DeFi con definiciones claras,pdf,https://res.cloudinary.com/dehgir74t/raw/upload/v1764334486/cryptohub/resources/file,otro
